match_id,puuid,unit_character_id,items,rarity,tier,placement
NA1_5214474372,VKwva7riXrRpNn_pQCF7Gx63CYKG4PxcbND2JnL3Tcceb6VFvy5_Y_4GvrsZ0-zHESntp_0VsbX3xA,TFT13_Fish,[],0,1,5
NA1_5214474372,VKwva7riXrRpNn_pQCF7Gx63CYKG4PxcbND2JnL3Tcceb6VFvy5_Y_4GvrsZ0-zHESntp_0VsbX3xA,TFT13_Shooter,[],0,2,5
NA1_5214474372,VKwva7riXrRpNn_pQCF7Gx63CYKG4PxcbND2JnL3Tcceb6VFvy5_Y_4GvrsZ0-zHESntp_0VsbX3xA,TFT13_Camille,[],1,2,5
NA1_5214474372,VKwva7riXrRpNn_pQCF7Gx63CYKG4PxcbND2JnL3Tcceb6VFvy5_Y_4GvrsZ0-zHESntp_0VsbX3xA,TFT13_Beardy,[],2,2,5
NA1_5214474372,VKwva7riXrRpNn_pQCF7Gx63CYKG4PxcbND2JnL3Tcceb6VFvy5_Y_4GvrsZ0-zHESntp_0VsbX3xA,TFT13_TwistedFate,[],2,2,5
NA1_5214474372,VKwva7riXrRpNn_pQCF7Gx63CYKG4PxcbND2JnL3Tcceb6VFvy5_Y_4GvrsZ0-zHESntp_0VsbX3xA,TFT13_Ekko,"['TFT_Item_UnstableConcoction', 'TFT_Item_HextechGunblade', 'TFT_Item_TitansResolve']",4,2,5
NA1_5214474372,VKwva7riXrRpNn_pQCF7Gx63CYKG4PxcbND2JnL3Tcceb6VFvy5_Y_4GvrsZ0-zHESntp_0VsbX3xA,TFT13_Vi,"['TFT_Item_Bloodthirster', 'TFT_Item_UnstableConcoction', 'TFT_Item_SpectralGauntlet']",4,2,5
NA1_5214474372,VKwva7riXrRpNn_pQCF7Gx63CYKG4PxcbND2JnL3Tcceb6VFvy5_Y_4GvrsZ0-zHESntp_0VsbX3xA,TFT13_Rumble,"['TFT_Item_IonicSpark', 'TFT_Item_Crownguard', 'TFT_Item_Redemption']",6,1,5
NA1_5214474372,CSZABWFZly3iWPGGobYZhYk9knB5J0-pUQbO02Zx85ShQvwlSi8lFmkjjCwfsjcbGIXkMnPu_PT1TQ,TFT13_Blue,['TFT_Item_NegatronCloak'],0,1,8
NA1_5214474372,CSZABWFZly3iWPGGobYZhYk9knB5J0-pUQbO02Zx85ShQvwlSi8lFmkjjCwfsjcbGIXkMnPu_PT1TQ,TFT13_Trundle,"['TFT_Item_SpectralGauntlet', 'TFT_Item_ChainVest']",0,1,8
